date,futures_id,contract_date,open,max,min,close,漲跌價,漲跌%,volume,settlement_price,open_interest,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,trading_session,價差對單式委託成交量,sess
2026/02/25,TX,202603,34844.0,35387.0,34817.0,35215.0,378,1.09%,55412,,,35212,35220,35387,17068,,盤後,,after
2026/02/26,TX,202603,35478.0,35730.0,35444.0,35655.0,166,0.47%,40395,,,35646,35654,35777,17068,,盤後,,after
2026/02/26,TX,202603,35522.0,35755.0,35348.0,35604.0,115,0.32%,71915,35611.0,82090.0,35603,35606,35777,17068,,一般,,day
2026/03/02,TX,202603,34744.0,35495.0,34722.0,35232.0,-379,-1.06%,83451,35238.0,81723.0,35232,35236,35879,17068,,一般,,day
2026/03/02,TX,202603,35638.0,35879.0,34910.0,35086.0,-525,-1.47%,82188,,,35080,35086,35879,17068,,盤後,,after
2026/03/03,TX,202603,35018.0,35320.0,34314.0,34325.0,-913,-2.59%,112098,34331.0,81924.0,34327,34330,35879,17068,,一般,,day
2026/03/03,TX,202603,35099.0,35366.0,34621.0,35175.0,-63,-0.18%,93330,,,35173,35179,35879,17068,,盤後,,after
2026/03/04,TX,202603,33461.0,33666.0,32679.0,32834.0,-1497,-4.36%,153854,32871.0,80836.0,32825,32834,35879,17068,,一般,,day
2026/03/04,TX,202603,34319.0,34444.0,32834.0,33548.0,-783,-2.28%,148908,,,33542,33550,35879,17068,,盤後,,after
2026/03/05,TX,202603,33911.0,34294.0,33392.0,33639.0,768,2.34%,117939,33666.0,77062.0,33639,33644,35879,17068,,一般,,day
2026/03/05,TX,202603,32899.0,33845.0,32804.0,33735.0,864,2.63%,90497,,,33726,33740,35879,17068,,盤後,,after
2026/03/06,TX,202603,33695.0,33799.0,32820.0,33288.0,-378,-1.12%,135936,,,33267,33305,35879,17068,,盤後,,after
2026/03/06,TX,202603,33360.0,33888.0,33296.0,33704.0,38,0.11%,78813,33703.0,77462.0,33705,33709,35879,17068,,一般,,day
2026/03/09,TX,202603,33709.0,33792.0,32494.0,32673.0,-1030,-3.06%,118813,,,32655,32673,35879,17068,,盤後,,after
2026/03/09,TX,202603,31730.0,32111.0,31124.0,31786.0,-1917,-5.69%,117924,31902.0,73763.0,31781,31786,35879,17068,,一般,,day
2026/03/10,TX,202603,31905.0,33530.0,31756.0,33414.0,1512,4.74%,90480,,,33406,33415,35879,17068,,盤後,,after
2026/03/10,TX,202603,33242.0,33329.0,32374.0,32696.0,794,2.49%,106333,32717.0,72741.0,32698,32703,35879,17068,,一般,,day
2026/03/11,TX,202603,32771.0,33499.0,32711.0,33105.0,388,1.19%,104350,,,33098,33105,35879,17068,,盤後,,after
2026/03/11,TX,202603,33341.0,34185.0,33277.0,33985.0,1268,3.88%,79384,34004.0,77678.0,33980,33985,35879,17068,,一般,,day
